dataset_name,pool_loss,topo_w,qual_w
balanced_uniform,tvgnn,0.58,0.1
balanced_uniform,diffpool,0.58,0.1
balanced_uniform,dmon,0.1,2.02
balanced_uniform,mincut,0.1,0.1
balanced_nonuniform,tvgnn,0.58,0.1
balanced_nonuniform,diffpool,2.02,0.1
balanced_nonuniform,dmon,0.1,0.1
balanced_nonuniform,mincut,1.06,0.1
mostlygraph,tvgnn,0.58,0.1
mostlygraph,diffpool,1.54,0.1
mostlygraph,dmon,0.58,1.06
mostlygraph,mincut,0.58,0.1
mostlyseries,tvgnn,0.1,0.1
mostlyseries,diffpool,2.5,0.1
mostlyseries,dmon,0.1,1.06
mostlyseries,mincut,0.1,0.1
onlygraph,tvgnn,0.58,1.54
onlygraph,diffpool,2.02,0.58
onlygraph,dmon,0.58,2.02
onlygraph,mincut,1.54,0.58
onlyseries,tvgnn,0.1,0.1
onlyseries,diffpool,0.58,0.1
onlyseries,dmon,0.1,0.58
onlyseries,mincut,0.1,0.1
